NodeID,ResourceName,ResourceType,Chance,ToolRequired,ToolEssential,Winter,Spring,Summer,Autumn,Notes
3002,Cat,Animal,70,Trap,0,1,1,1,1,
3002,Hawthorn,Botanical,50,Saw,1,0.5,0.7,1,1,
3002,Rat,Animal,100,Trap,1,1,1,1,1,
3002,Rose,Botanical,50,Shears,1,0,0.5,1,1,
3003,Corn,Botanical,50,Shears,1,0,0,1,1,
3003,Crow,Animal,70,Snare,1,1,1,1,1,
3003,Dirt,Mineral,100,Spade,0,1,1,1,1,
3003,Straw,Crafting,100,Knife,0,1,1,1,1,
3004,Dirt,Mineral,100,Spade,0,1,1,1,1,
3004,Rockrose,Botanical,100,NULL,0,0,1,1,0,
3004,Spider,Animal,70,Net,0,0.5,1,1,1,
3004,Spider Silk,Crafting,70,Silk pin,0,0.5,1,1,1,
3005,Aluminium,Metal,100,Pick,1,1,1,1,1,
3005,Brass,Metal,100,Pick,1,1,1,1,1,
3005,Bronze,Metal,100,Pick,1,1,1,1,1,
3005,Iron,Metal,100,Pick,1,1,1,1,1,
3005,Lead,Metal,100,Pick,1,1,1,1,1,
3005,Platinum,Metal,100,Pick,1,1,1,1,1,
3005,Tin,Metal,100,Pick,1,1,1,1,1,
3005,Titanium,Metal,100,Pick,1,1,1,1,1,
3005,Zinc,Metal,100,Pick,1,1,1,1,1,
3006,Bamboo,Botanical,30,Saw,1,0.5,1,1,1,
3006,Beetle,Animal,100,Net,0,0.3,1,1,1,
3006,Cherry Blossom,Botanical,10,Saw,1,0.5,0.7,1,1,
3006,Redwood,Botanical,10,Saw,1,1,1,1,1,
4001,Clay,Element,100,Spade,1,0,0.5,1,1,
4001,Coral,Mineral,10,Knife,1,0.5,0.7,1,1,
4001,Sea Water,Water,100,Bucket,1,1,1,1,1,
4002,Beech,Botanical,10,Saw,1,0.5,0.7,1,1,
4002,Birch,Botanical,10,Saw,1,0.5,0.7,1,1,
4002,Foxglove,Botanical,50,Shears,0,0,0.5,1,1,
4002,Moss,Botanical,70,Knife,0,0,0,1,1,
4002,Pleated Ink Cap,Botanical,50,Knife,0,0,0,0,1,
4002,Rabbit,Animal,50,Snare,1,0.3,1,1,0.5,
4002,Yellow Morel,Botanical,50,Knife,0,0,0,0,1,
4003,Newt,Animal,50,Net,1,0,1,1,0.5,
4003,Reed,Crafting,50,Shears,1,0,0.5,1,1,
4003,Toad,Animal,50,Net,1,0,1,1,0.5,
4003,Well Water,Water,100,Bucket,1,1,1,1,1,
4004,Cat,Animal,70,Trap,0,1,1,1,1,
4004,Fly,Animal,100,Net,1,0.3,1,1,1,
4004,Rat,Animal,100,Trap,1,1,1,1,1,
4004,Sunflower,Botanical,50,Shears,1,0,0.5,1,0.5,
4005,Diamond,Mineral,100,Pick,1,1,1,1,1,
4005,Emerald,Mineral,100,Pick,1,1,1,1,1,
4005,Ruby,Mineral,100,Pick,1,1,1,1,1,
4005,Sapphire,Mineral,100,Pick,1,1,1,1,1,
